Nom,Prenom,Date du dernier achat,date de fin,Distance date,R,Nombre d'achats (12 derniers mois),F,Montant total des achats (€),M,"RFMscore
"
Vincent,Isaac,2/17/2025,6/16/2025,119,4,1,1,38.41,1,411
Caron,No?l,3/4/2025,6/16/2025,104,4,15,4,910.43,4,444
Grondin,Rémy,7/30/2024,6/16/2025,321,1,4,2,340.19,2,122
Vallet,Olivier,11/24/2024,6/16/2025,204,3,9,3,509.21,3,333
Louis,Josette,1/28/2025,6/16/2025,139,3,2,1,50.77,1,311
Boyer,Astrid,3/28/2025,6/16/2025,80,5,2,1,81.41,1,511
Alves,Jeannine,1/28/2025,6/16/2025,139,3,11,3,1088.59,3,333
Raymond,Luce,11/3/2024,6/16/2025,225,2,4,2,227.23,2,222
Le Roux,Sabine,9/18/2024,6/16/2025,271,2,13,4,825.33,4,244
Boulay,Marine,11/7/2024,6/16/2025,221,2,3,1,63.45,1,211
Goncalves,Alex,7/25/2024,6/16/2025,326,1,20,5,615.8,5,155
Da Silva,émile,4/22/2025,6/16/2025,55,5,17,5,561.68,5,555
Chevallier,Andrée,11/2/2024,6/16/2025,226,2,1,1,89.62,1,211
Renaud,Margaud,5/9/2025,6/16/2025,38,5,5,2,222.64,2,522
Bonneau,Aurélie,8/16/2024,6/16/2025,304,1,3,1,87.41,1,111
Albert,Ana?s,5/17/2025,6/16/2025,30,5,2,1,41.69,1,511
Pottier,Denise,10/20/2024,6/16/2025,239,2,12,4,839.58,4,244
Dias,Franck,12/28/2024,6/16/2025,170,3,7,2,144.84,2,322
Legros,Robert,4/19/2025,6/16/2025,58,5,2,1,110.78,1,511
Hebert,Isaac,3/16/2025,6/16/2025,92,4,3,1,141.3,1,411
Leroux,Brigitte,2/3/2025,6/16/2025,133,4,12,4,766.46,4,444
Lamy,Juliette,5/6/2025,6/16/2025,41,5,7,2,167.14,2,522
Gérard,Ana?s,9/25/2024,6/16/2025,264,2,17,5,1168.48,5,255
Raymond,Louis,12/7/2024,6/16/2025,191,3,9,3,546.98,3,333
Barre,Alain,1/7/2025,6/16/2025,160,3,16,4,370.75,4,344
Mathieu,Isaac,11/3/2024,6/16/2025,225,2,6,2,133.39,2,222
Rousseau,Vincent,7/8/2024,6/16/2025,343,1,4,2,121.66,2,122
Godard,Lucie,3/13/2025,6/16/2025,95,4,1,1,94.67,1,411
Giraud,Lucie,3/26/2025,6/16/2025,82,5,19,5,1566.84,5,555
Colas,Anouk,6/15/2025,6/16/2025,1,5,7,2,645.36,2,522
Prévost,Patricia,11/19/2024,6/16/2025,209,2,17,5,390.3,5,255
Joseph,Jeanne,5/11/2025,6/16/2025,36,5,10,3,560.5,3,533
Blanchet,Monique,8/23/2024,6/16/2025,297,1,7,2,376.51,2,122
Baudry,Anastasie,10/26/2024,6/16/2025,233,2,11,3,787.39,3,233
Gallet,Alphonse,9/3/2024,6/16/2025,286,1,18,5,1133.28,5,155
Valentin,Véronique,2/11/2025,6/16/2025,125,4,15,4,1398.51,4,444
Lema?tre,Aurore,11/19/2024,6/16/2025,209,2,10,3,262.73,3,233
Grondin,Honoré,6/29/2024,6/16/2025,352,1,20,5,1479.94,5,155
Rey,Alexandre,6/29/2024,6/16/2025,352,1,8,3,752.93,3,133
Hernandez,No?l,1/19/2025,6/16/2025,148,3,20,5,1407.26,5,355
Joly,élisabeth,3/29/2025,6/16/2025,79,5,6,2,160.26,2,522
Girard,Anastasie,10/29/2024,6/16/2025,230,2,4,2,276.83,2,222
Pierre,Christiane,6/10/2025,6/16/2025,6,5,1,1,61.78,1,511
Lopez,Nathalie,12/27/2024,6/16/2025,171,3,7,2,464.82,2,322
Jean,Rémy,3/18/2025,6/16/2025,90,4,10,3,610.88,3,433
Mathieu,Marcel,11/7/2024,6/16/2025,221,2,9,3,769.62,3,233
Lucas,Alice,9/21/2024,6/16/2025,268,2,3,1,176.68,1,211
Bazin,Victor,6/8/2025,6/16/2025,8,5,11,3,442.65,3,533
