Nom,Prenom,Date du dernier achat,date de fin,Distance date,R,Nombre d'achats (12 derniers mois),F,Montant total des achats (€),M,"RFMscore
",cluster
Vincent,Isaac,2/17/2025,6/16/2025,119,4.0,1.0,1.0,38.41,1.0,411.0,3
Caron,No?l,3/4/2025,6/16/2025,104,4.0,15.0,4.0,910.43,4.0,444.0,2
Grondin,Rémy,7/30/2024,6/16/2025,321,1.0,4.0,2.0,340.19,2.0,122.0,0
Vallet,Olivier,11/24/2024,6/16/2025,204,3.0,9.0,3.0,509.21,3.0,333.0,4
Louis,Josette,1/28/2025,6/16/2025,139,3.0,2.0,1.0,50.77,1.0,311.0,3
Boyer,Astrid,3/28/2025,6/16/2025,80,5.0,2.0,1.0,81.41,1.0,511.0,3
Alves,Jeannine,1/28/2025,6/16/2025,139,3.0,11.0,3.0,1088.59,3.0,333.0,4
Raymond,Luce,11/3/2024,6/16/2025,225,2.0,4.0,2.0,227.23,2.0,222.0,0
Le Roux,Sabine,9/18/2024,6/16/2025,271,2.0,13.0,4.0,825.33,4.0,244.0,1
Boulay,Marine,11/7/2024,6/16/2025,221,2.0,3.0,1.0,63.45,1.0,211.0,0
Goncalves,Alex,7/25/2024,6/16/2025,326,1.0,20.0,5.0,615.8,5.0,155.0,1
Da Silva,émile,4/22/2025,6/16/2025,55,5.0,17.0,5.0,561.68,5.0,555.0,2
Chevallier,Andrée,11/2/2024,6/16/2025,226,2.0,1.0,1.0,89.62,1.0,211.0,0
Renaud,Margaud,5/9/2025,6/16/2025,38,5.0,5.0,2.0,222.64,2.0,522.0,3
Bonneau,Aurélie,8/16/2024,6/16/2025,304,1.0,3.0,1.0,87.41,1.0,111.0,0
Albert,Ana?s,5/17/2025,6/16/2025,30,5.0,2.0,1.0,41.69,1.0,511.0,3
Pottier,Denise,10/20/2024,6/16/2025,239,2.0,12.0,4.0,839.58,4.0,244.0,1
Dias,Franck,12/28/2024,6/16/2025,170,3.0,7.0,2.0,144.84,2.0,322.0,0
Legros,Robert,4/19/2025,6/16/2025,58,5.0,2.0,1.0,110.78,1.0,511.0,3
Hebert,Isaac,3/16/2025,6/16/2025,92,4.0,3.0,1.0,141.3,1.0,411.0,3
Leroux,Brigitte,2/3/2025,6/16/2025,133,4.0,12.0,4.0,766.46,4.0,444.0,2
Lamy,Juliette,5/6/2025,6/16/2025,41,5.0,7.0,2.0,167.14,2.0,522.0,3
Gérard,Ana?s,9/25/2024,6/16/2025,264,2.0,17.0,5.0,1168.48,5.0,255.0,1
Raymond,Louis,12/7/2024,6/16/2025,191,3.0,9.0,3.0,546.98,3.0,333.0,4
Barre,Alain,1/7/2025,6/16/2025,160,3.0,16.0,4.0,370.75,4.0,344.0,2
Mathieu,Isaac,11/3/2024,6/16/2025,225,2.0,6.0,2.0,133.39,2.0,222.0,0
Rousseau,Vincent,7/8/2024,6/16/2025,343,1.0,4.0,2.0,121.66,2.0,122.0,0
Godard,Lucie,3/13/2025,6/16/2025,95,4.0,1.0,1.0,94.67,1.0,411.0,3
Giraud,Lucie,3/26/2025,6/16/2025,82,5.0,19.0,5.0,1566.84,5.0,555.0,2
Colas,Anouk,6/15/2025,6/16/2025,1,5.0,7.0,2.0,645.36,2.0,522.0,3
Prévost,Patricia,11/19/2024,6/16/2025,209,2.0,17.0,5.0,390.3,5.0,255.0,1
